Respondent,Languages
92,Bash/Shell/PowerShell;C;Java;JavaScript;PHP;SQL
93,Assembly;Bash/Shell/PowerShell;C;C++;HTML/CSS;Java;JavaScript;Objective-C;Perl;PHP;SQL
94,Bash/Shell/PowerShell;C;Python;Ruby;SQL
95,HTML/CSS;JavaScript;PHP;Python;SQL
96,Bash/Shell/PowerShell;HTML/CSS;JavaScript
97,Bash/Shell/PowerShell;Go;Java;JavaScript;Rust;TypeScript
98,C++;Python
99,Go;JavaScript;Python;SQL;TypeScript
100,C#;HTML/CSS;JavaScript;SQL
101,HTML/CSS;JavaScript;PHP;SQL
102,Objective-C;Swift
103,HTML/CSS;Java;JavaScript;Python;SQL
104,C#;HTML/CSS;JavaScript;PHP;SQL
105,C#;HTML/CSS;JavaScript;SQL;TypeScript
106,C#;HTML/CSS;Java;JavaScript;SQL
107,Bash/Shell/PowerShell;HTML/CSS;JavaScript;Rust;TypeScript
108,C#;SQL
109,HTML/CSS;Java;JavaScript;Python;SQL;TypeScript
110,Bash/Shell/PowerShell;C;C++;Go;HTML/CSS;Java;JavaScript;Python;Ruby;SQL;TypeScript
111,HTML/CSS;Java;JavaScript;Python;TypeScript
112,Python;SQL
113,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;PHP;Python
114,Go;HTML/CSS;JavaScript;PHP;SQL
115,Assembly;C;C++;Java;Python;SQL
116,HTML/CSS;Java;JavaScript;SQL
117,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript
118,Bash/Shell/PowerShell;C;C++;HTML/CSS;JavaScript;Python;Ruby;Scala;SQL
119,Bash/Shell/PowerShell;C#;Go;HTML/CSS;Java;JavaScript;Kotlin;Objective-C;Python;SQL;TypeScript
120,Go;PHP;Python
121,Bash/Shell/PowerShell;JavaScript;Python;SQL
122,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;Kotlin;Python;SQL;Swift;TypeScript
123,Bash/Shell/PowerShell;C++;Go;Java;Python
124,Swift
125,Python;SQL
126,JavaScript;PHP
127,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;VBA
128,C#;HTML/CSS;JavaScript;SQL
129,Bash/Shell/PowerShell;C;HTML/CSS;JavaScript;Python;SQL;TypeScript
130,C#;HTML/CSS;JavaScript;PHP;Python;SQL;VBA
131,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;Rust;SQL;TypeScript
132,Dart;HTML/CSS;JavaScript;TypeScript
133,Bash/Shell/PowerShell;C#;Dart;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript;VBA
134,Bash/Shell/PowerShell;HTML/CSS;JavaScript;TypeScript
135,Bash/Shell/PowerShell;HTML/CSS;Python;SQL
136,C;C#;C++
137,NA
138,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;PHP;SQL;TypeScript
139,HTML/CSS;JavaScript;PHP;SQL;TypeScript
140,NA
141,Java
142,C#;HTML/CSS;JavaScript;SQL
143,Bash/Shell/PowerShell;Java;JavaScript;Python;Scala;SQL
144,HTML/CSS;Java;JavaScript;Objective-C;PHP;SQL;Swift
145,Bash/Shell/PowerShell;Python
146,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;SQL;TypeScript
147,HTML/CSS;JavaScript;Python;TypeScript
148,Python;Ruby;SQL
149,Bash/Shell/PowerShell;C++;Perl
150,Bash/Shell/PowerShell;C;C++;HTML/CSS;Java;Perl
151,HTML/CSS;JavaScript;PHP;Python;SQL
152,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;Python;R
153,HTML/CSS;Java;JavaScript;TypeScript
154,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript
155,Bash/Shell/PowerShell;HTML/CSS;JavaScript;Perl;PHP;Python;SQL
156,Bash/Shell/PowerShell;HTML/CSS;JavaScript;SQL;TypeScript
157,HTML/CSS;JavaScript;PHP;TypeScript
158,Bash/Shell/PowerShell;HTML/CSS;JavaScript;Python;Ruby;SQL;TypeScript
159,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;SQL;TypeScript
160,Bash/Shell/PowerShell;C;C++;Java;JavaScript;Python;SQL
161,Bash/Shell/PowerShell;Go;HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript
162,HTML/CSS;JavaScript;PHP
163,C#;HTML/CSS;JavaScript;SQL;TypeScript
164,Bash/Shell/PowerShell;C;C#;HTML/CSS;Java;JavaScript;Python
165,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;Python;Rust;TypeScript
166,Bash/Shell/PowerShell;Python
167,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;SQL;TypeScript
168,HTML/CSS;JavaScript;PHP;SQL
169,Bash/Shell/PowerShell
170,C#;HTML/CSS;JavaScript;PHP;Python;SQL
171,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;Kotlin;Scala;SQL;TypeScript
172,Bash/Shell/PowerShell;HTML/CSS;JavaScript;Perl;PHP;SQL
173,C#;HTML/CSS;JavaScript;PHP;SQL
174,C;C++;Java;Objective-C;Python
175,C#;C++;HTML/CSS;Java;JavaScript;Python;SQL;VBA
176,Bash/Shell/PowerShell;C;C++
177,Objective-C;Swift
178,Assembly;Bash/Shell/PowerShell;C;C#;C++;HTML/CSS;Java;JavaScript;PHP;Python;SQL;VBA
179,Bash/Shell/PowerShell;C#;Go;HTML/CSS;JavaScript;TypeScript
180,HTML/CSS;Python;SQL
181,HTML/CSS;JavaScript;Objective-C;Ruby;Swift
182,Bash/Shell/PowerShell;C;C#;Go;HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript
183,HTML/CSS;JavaScript;Ruby
184,Bash/Shell/PowerShell;C;C++;Go;HTML/CSS;JavaScript;Python;SQL
185,Bash/Shell/PowerShell;C#;Java;JavaScript;Rust;TypeScript
186,Bash/Shell/PowerShell;Dart;HTML/CSS;Java;JavaScript;Kotlin;SQL
187,Python;SQL
188,Assembly;C;C#;C++;HTML/CSS;JavaScript;PHP;Python;SQL
189,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;SQL;TypeScript
190,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript
191,C;C++;HTML/CSS;JavaScript;Julia;Python;R;Rust;SQL
192,HTML/CSS;Python
193,Java;JavaScript;Objective-C;Swift
194,Assembly;Bash/Shell/PowerShell;C;C++;Java;JavaScript;Kotlin;Python;Rust;SQL;TypeScript
195,Go;Kotlin;Python;Swift
196,Assembly;Bash/Shell/PowerShell;C;C++;Scala
197,C#;C++;HTML/CSS;Java;JavaScript;Python
198,Bash/Shell/PowerShell;Go;HTML/CSS;JavaScript;SQL
199,C#;HTML/CSS;JavaScript;Python;SQL
200,C#;C++;HTML/CSS;JavaScript;Python;SQL
201,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;TypeScript
202,R
203,Assembly;Bash/Shell/PowerShell;C;C#;C++;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript;VBA
204,Assembly;Bash/Shell/PowerShell;C;C++;Go;HTML/CSS;Java;Python;Ruby;Swift
205,C#;JavaScript;SQL;TypeScript
206,Bash/Shell/PowerShell;Dart;Go;HTML/CSS;Java;JavaScript;PHP;Python;Ruby;SQL;VBA
207,C++;HTML/CSS;JavaScript;Python;Ruby;SQL;TypeScript
208,Assembly;C;Haskell;Java;Python;R
209,Assembly;Bash/Shell/PowerShell;C;C#;C++;HTML/CSS;Java;JavaScript;PHP;Python;SQL
210,Go;Java;JavaScript
211,Bash/Shell/PowerShell;Go;Python
212,Bash/Shell/PowerShell;HTML/CSS;JavaScript;SQL;TypeScript
213,C#;Go;HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;SQL
214,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;SQL;VBA
215,Bash/Shell/PowerShell;C#;Go;HTML/CSS;JavaScript;SQL
216,Go;HTML/CSS;JavaScript;Python;TypeScript
217,C#;Java;Kotlin;Python;SQL
218,Bash/Shell/PowerShell;C++;Go;HTML/CSS;Java;JavaScript;Python;SQL
219,HTML/CSS;Java;Ruby;SQL
220,Bash/Shell/PowerShell;C;C#;HTML/CSS;Java;JavaScript;PHP;Python;SQL
221,Bash/Shell/PowerShell;C;C#;C++;HTML/CSS;Java;JavaScript;Python;R;Scala;SQL
222,HTML/CSS;JavaScript;Python;Ruby;SQL
223,C#;HTML/CSS;JavaScript;TypeScript
224,C#;HTML/CSS;Java;JavaScript;Kotlin;SQL
225,C#;C++;HTML/CSS;Java;JavaScript;PHP;Python;SQL
226,C#;HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript
227,Java;JavaScript;Python
228,Bash/Shell/PowerShell;HTML/CSS;JavaScript;Python;Rust;TypeScript
229,Go;HTML/CSS;Java;Kotlin;Python;TypeScript
230,C;HTML/CSS;JavaScript;Rust
231,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;SQL
232,C;C++;HTML/CSS;Java;JavaScript;Python;VBA
233,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;SQL;TypeScript
234,C;C++;HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript
235,C;C++;Python
236,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript
237,C;C#;Java;JavaScript;PHP
238,Bash/Shell/PowerShell;C;C#;C++;HTML/CSS;Java;JavaScript;PHP;Python
239,Bash/Shell/PowerShell;C#;Dart;Go;HTML/CSS;Java;JavaScript;Kotlin;Python;Scala;SQL;Swift
240,Bash/Shell/PowerShell;Perl;Python;SQL;VBA
241,HTML/CSS;JavaScript
242,HTML/CSS;JavaScript;Ruby
243,TypeScript
244,HTML/CSS;Java;JavaScript;PHP;SQL
245,C;C++;Rust
246,HTML/CSS;JavaScript
247,Bash/Shell/PowerShell;Java;Kotlin;SQL
248,Bash/Shell/PowerShell;Python;SQL
249,Bash/Shell/PowerShell;HTML/CSS;JavaScript;Python;SQL
250,Bash/Shell/PowerShell;C;HTML/CSS;JavaScript;SQL
251,C#;HTML/CSS;JavaScript;PHP;SQL
252,C#;HTML/CSS;JavaScript;Objective-C;SQL;Swift;TypeScript
253,Java;Python
254,C#;JavaScript;TypeScript
255,C#;HTML/CSS;Java;JavaScript;SQL
256,C#;C++;HTML/CSS;Java;JavaScript;PHP;SQL
257,C#;JavaScript
258,C;C#;C++;Dart;HTML/CSS;JavaScript;SQL;TypeScript
259,C#;Java;JavaScript;SQL
260,C;C#;C++;JavaScript;Python;SQL
261,Assembly;C;C#;C++;Haskell;Java
262,Bash/Shell/PowerShell;Haskell;HTML/CSS;JavaScript;Python;SQL
263,C#;HTML/CSS;JavaScript;SQL;TypeScript
264,C#;HTML/CSS;JavaScript;PHP;SQL;TypeScript;VBA
265,Python;R;SQL
266,Bash/Shell/PowerShell;C#;JavaScript;Kotlin;SQL;Swift;TypeScript
267,HTML/CSS;JavaScript;Python;SQL;TypeScript
268,HTML/CSS;Java;JavaScript;PHP;SQL
269,Bash/Shell/PowerShell;C#;SQL
270,Bash/Shell/PowerShell;C;C++;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript
271,C;JavaScript;Python;R;SQL;VBA
272,Assembly;C#;C++;Java;SQL
273,Bash/Shell/PowerShell;C#
274,HTML/CSS;JavaScript;TypeScript
275,Java
276,HTML/CSS;JavaScript;PHP;SQL
277,Bash/Shell/PowerShell;C++;Python;SQL
278,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;Python
279,Bash/Shell/PowerShell;C++;HTML/CSS;JavaScript;Python;SQL;TypeScript
280,C#;HTML/CSS;JavaScript;SQL;TypeScript
281,Java
282,Go;HTML/CSS;Java;JavaScript;Python;SQL;Swift
283,C++;HTML/CSS;Java;Python;Swift
284,Bash/Shell/PowerShell;C;HTML/CSS;JavaScript;Python;TypeScript
285,Bash/Shell/PowerShell;C++;HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript
286,Bash/Shell/PowerShell;Python;R
287,C;C#;C++;Haskell;Java;JavaScript;PHP;Ruby;SQL;TypeScript
288,Java;PHP
289,C#;HTML/CSS;JavaScript;Python;SQL;VBA
290,HTML/CSS;JavaScript;PHP
291,C#;Python
292,C#;C++;HTML/CSS;JavaScript;Python;SQL;VBA
293,Swift
294,C#;Java;JavaScript;SQL
295,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;PHP;SQL
296,Bash/Shell/PowerShell;Go;Java
297,HTML/CSS;Java;JavaScript;PHP;SQL
298,HTML/CSS;JavaScript;PHP;SQL
299,Bash/Shell/PowerShell;C;C++;HTML/CSS;Java;JavaScript;Python;TypeScript
300,Bash/Shell/PowerShell;Java;Python;Scala;SQL
301,HTML/CSS;Java;JavaScript
302,Bash/Shell/PowerShell;C#;HTML/CSS;SQL
303,HTML/CSS;JavaScript;Python;SQL
304,HTML/CSS;Java;JavaScript;Perl;PHP;Scala;SQL
305,Bash/Shell/PowerShell;HTML/CSS;JavaScript;Python;SQL
306,Bash/Shell/PowerShell;C++;Java;JavaScript;Python
307,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;SQL
308,HTML/CSS;JavaScript;Ruby;SQL
309,Java;JavaScript;Scala
310,Bash/Shell/PowerShell;C#;Dart;HTML/CSS;JavaScript;Kotlin;Python;Swift;TypeScript
311,JavaScript;SQL
312,NA
313,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;SQL
314,Bash/Shell/PowerShell;C#;Go;HTML/CSS;JavaScript;Ruby;SQL;TypeScript
315,Go;JavaScript;PHP;Swift
316,C#;C++;HTML/CSS;Java;JavaScript;Python;SQL
317,Assembly;Python;SQL;VBA
318,Bash/Shell/PowerShell;HTML/CSS;JavaScript;Ruby;SQL
319,C;C#;C++;Python
320,Assembly;Bash/Shell/PowerShell;C;C#;C++;HTML/CSS;JavaScript;Perl;Python;SQL
321,Java
322,HTML/CSS;JavaScript;PHP;SQL;TypeScript
323,Bash/Shell/PowerShell;HTML/CSS;Java;SQL
324,Bash/Shell/PowerShell;Java;JavaScript;SQL
325,C#;C++;JavaScript;Python
326,Assembly;Bash/Shell/PowerShell;C;C++;Go;HTML/CSS;Java;JavaScript;Python;TypeScript
327,Assembly;HTML/CSS;JavaScript;PHP;Python;SQL
328,HTML/CSS;Java;JavaScript;SQL;TypeScript
329,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;SQL
330,C#;HTML/CSS;JavaScript;Perl;PHP;Python;SQL
331,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;Perl;PHP;Ruby;SQL;TypeScript
332,HTML/CSS;JavaScript
333,Bash/Shell/PowerShell;C++;Dart;HTML/CSS;Java;Python
334,JavaScript;Python;R;SQL
335,Bash/Shell/PowerShell;Python;Ruby;SQL
336,Bash/Shell/PowerShell;HTML/CSS;JavaScript;Python;SQL
337,C#;HTML/CSS;JavaScript;SQL;TypeScript
338,NA
339,C;C#;C++;HTML/CSS;JavaScript;Python;SQL
340,Assembly;Bash/Shell/PowerShell;C;Perl;PHP;Python
341,Bash/Shell/PowerShell;C++;Python;Ruby;Rust
342,C#;HTML/CSS;JavaScript
343,Bash/Shell/PowerShell;Perl;Python;SQL
344,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;SQL;VBA
345,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;SQL
346,C;C#;Dart;HTML/CSS;Java;JavaScript;Ruby
347,HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript
348,HTML/CSS;JavaScript
349,Bash/Shell/PowerShell;C;C++;Go;Java;JavaScript;Python;R;Rust;Scala;SQL;TypeScript
350,Dart;HTML/CSS;Java;JavaScript;Kotlin;TypeScript
351,C#;HTML/CSS;JavaScript;Python;SQL
352,HTML/CSS;JavaScript;Ruby;TypeScript
353,C++;HTML/CSS;Java;Python
354,C#;HTML/CSS;JavaScript;SQL
355,C;HTML/CSS;JavaScript;TypeScript
356,Bash/Shell/PowerShell;Java;JavaScript;Python;Ruby;SQL
357,Assembly;Bash/Shell/PowerShell;C;C#;C++;Go;HTML/CSS;Java;JavaScript;Python;Ruby;Rust
358,HTML/CSS;JavaScript;Python;TypeScript
359,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;Python;TypeScript
360,Java;JavaScript;Kotlin
361,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;SQL
362,C;C#;Objective-C;Ruby;SQL
363,Assembly;Bash/Shell/PowerShell;C;C++;Dart;HTML/CSS;Java;JavaScript;Perl;PHP;Python;SQL
364,Assembly;Bash/Shell/PowerShell;C;C#;C++;Python
365,HTML/CSS;JavaScript;PHP;SQL
366,HTML/CSS;Java
367,C#;HTML/CSS
368,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;PHP;SQL
369,C#;HTML/CSS;JavaScript;SQL
370,C#;HTML/CSS;JavaScript;Python;SQL
371,Bash/Shell/PowerShell;C;C++;Go;HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;Rust;SQL;TypeScript
372,Bash/Shell/PowerShell;C;HTML/CSS;JavaScript;Objective-C;Python;R;Ruby;TypeScript
373,Bash/Shell/PowerShell;C#
374,Bash/Shell/PowerShell;C#;Go;HTML/CSS;Java;JavaScript;Python;SQL
375,C#;C++;HTML/CSS;TypeScript
376,Bash/Shell/PowerShell;HTML/CSS;Python
377,HTML/CSS;JavaScript;PHP;SQL;TypeScript
378,C#;HTML/CSS;Java;JavaScript;Scala;SQL;TypeScript
379,SQL;VBA
380,Python
381,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;Objective-C;SQL;Swift
382,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;Python;Scala
383,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;Python;SQL;VBA
384,HTML/CSS;JavaScript;SQL;TypeScript
385,C;C#;HTML/CSS;Java;JavaScript;Kotlin;Swift
386,C#;HTML/CSS;JavaScript
387,HTML/CSS;JavaScript;PHP;SQL
388,Java;Python
389,C;C#;C++
390,HTML/CSS;JavaScript;PHP
391,C#;HTML/CSS;JavaScript;PHP;Python;SQL
392,Bash/Shell/PowerShell;C;HTML/CSS;Java;JavaScript;Python;R;SQL;TypeScript;VBA
393,C;C++;Python;SQL
394,C#;HTML/CSS;JavaScript;PHP;SQL
395,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;PHP;Python;SQL
396,C#;HTML/CSS;JavaScript;PHP;TypeScript
397,C#
398,JavaScript
399,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;PHP;Python;Ruby;SQL
400,HTML/CSS;JavaScript;PHP;SQL
401,Go;HTML/CSS;Java;JavaScript;PHP;Python;Ruby;SQL
402,Bash/Shell/PowerShell;C;C#;C++;HTML/CSS;Java;JavaScript;Objective-C;PHP;Python;SQL;VBA
403,HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript
404,Python
405,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;PHP;SQL
406,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;SQL
407,Bash/Shell/PowerShell;C++;Java;JavaScript;Kotlin;Python;Rust
408,C#;C++;HTML/CSS;JavaScript;Python;VBA
409,C#;HTML/CSS;Python;SQL
410,C++;HTML/CSS;Java;JavaScript;PHP;Python;SQL
411,C++;Python
412,C;C#;HTML/CSS;Java;JavaScript;Kotlin;Python;SQL
413,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;SQL
414,Python;R;Scala
415,HTML/CSS;JavaScript;Python;SQL
416,C#;C++;HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript
417,C#;HTML/CSS;JavaScript;SQL;TypeScript
418,NA
419,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;SQL
420,C;Java
421,Java;Perl;Scala
422,C#;HTML/CSS;JavaScript;Python;SQL;TypeScript
423,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;SQL;TypeScript
424,Bash/Shell/PowerShell;C;C#;C++;HTML/CSS;JavaScript;Python
425,Bash/Shell/PowerShell;C++;Python
426,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;Python;SQL
427,HTML/CSS;JavaScript;Python;Ruby;TypeScript
428,Assembly;C;C#;Dart;HTML/CSS;Java;JavaScript;Python;Ruby;Rust;SQL;TypeScript
429,C#;HTML/CSS;JavaScript;PHP;SQL
430,Assembly;Bash/Shell/PowerShell;C;C#;C++;Go;Java;JavaScript;PHP;SQL;TypeScript
431,C#;HTML/CSS;JavaScript;PHP;SQL;TypeScript
432,Bash/Shell/PowerShell;C#;Go;HTML/CSS;JavaScript;SQL
433,Bash/Shell/PowerShell;C;C#;C++;Dart;HTML/CSS;Java;JavaScript;Objective-C;PHP;Python;SQL;Swift
434,C#;Dart;Go;HTML/CSS;JavaScript;Kotlin;Objective-C;PHP;Python;SQL;Swift
435,Java;Kotlin;SQL
436,Python;R
437,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript
438,Java;Kotlin
439,NA
440,HTML/CSS;Java;JavaScript;SQL;TypeScript
441,C#;HTML/CSS;JavaScript;SQL
442,HTML/CSS;JavaScript;Python;SQL;TypeScript
443,NA
444,Bash/Shell/PowerShell;Go;HTML/CSS;JavaScript;Python;Rust;SQL
445,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;SQL
446,Assembly;Bash/Shell/PowerShell;C;SQL
447,HTML/CSS;Java;JavaScript;Scala;SQL;TypeScript
448,Bash/Shell/PowerShell;C++;JavaScript;Python;TypeScript
449,C#;C++;HTML/CSS;JavaScript;PHP;SQL
450,NA
451,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript
452,HTML/CSS;Java;JavaScript;SQL;TypeScript;VBA
453,Java;Python
454,Bash/Shell/PowerShell;HTML/CSS;Perl;PHP;Python;SQL
455,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;SQL
456,C#;HTML/CSS;JavaScript;Kotlin;Python;Ruby;SQL
457,Bash/Shell/PowerShell;C#;C++;HTML/CSS;PHP;Python;SQL
458,Java;Scala;SQL
459,Bash/Shell/PowerShell;C++;Java;Kotlin;Python
460,JavaScript;PHP;SQL;TypeScript
461,HTML/CSS;JavaScript;TypeScript
462,C#;HTML/CSS;JavaScript;SQL;TypeScript
463,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;Python;Scala;SQL
464,Assembly;C;C++;Haskell;Python
465,C;C#;C++;Python
466,Bash/Shell/PowerShell;C;C#;C++;HTML/CSS;Java;JavaScript;Python;Ruby
467,Bash/Shell/PowerShell;C++;Python
468,Assembly;Bash/Shell/PowerShell;C;C++;Go;HTML/CSS;Java;JavaScript;Julia;Perl;PHP;Python;R;Ruby;SQL
469,C++;HTML/CSS;Java;Python;SQL
470,HTML/CSS;JavaScript;Kotlin;SQL;TypeScript
471,C#;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript
472,C#;HTML/CSS;JavaScript
473,Java;JavaScript;Scala;SQL
474,HTML/CSS;Java;JavaScript;SQL
